,sex,master_channel,newsletter,registration_payment,use_pickup_point,churned_1_month,email_domain,with_promotion,is_lead,reg_year,days_from_first_click,age,box_satisfaction,reg_month,random,income_per_region,population_per_region
239,0,d,1.0,10.99,0.0,0,gc,1,1,2017,13.75,14.5,152.34,a,962,18707,6663394
240,1,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,33.5,152.34,a,751,17102,7675217
241,1,f,0.0,10.99,0.0,0,gc,1,0,2017,0.0,19.0,152.34,a,707,18707,6663394
242,0,g,1.0,0.0,0.0,0,hc,0,0,2017,0.25,18.5,152.34,a,344,13148,5003769
243,0,de,1.0,10.99,0.0,1,hc,1,1,2017,12.5,12.5,152.34,a,306,17102,7675217
244,1,a,1.0,10.99,0.0,1,gc,1,1,2017,0.25,24.5,152.34,a,615,11589,8414240
245,1,a,1.0,10.99,0.0,1,gc,1,0,2017,0.25,13.5,152.34,a,255,11589,8414240
246,0,ps,1.0,10.99,0.0,0,gc,1,1,2017,0.25,11.5,152.34,a,820,11818,1493898
247,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.25,40.5,152.34,a,828,11589,8414240
248,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,26.0,152.34,a,897,11589,8414240
249,0,s,1.0,10.99,0.0,0,hc,1,1,2017,0.0,13.0,152.34,a,377,14903,1022800
250,1,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,15.5,152.34,a,836,14903,1022800
251,0,s,1.0,10.99,0.0,1,hc,1,1,2017,0.0,12.5,152.34,a,470,11589,8414240
